dataset,sample_idx,label_value,dice_native,dice_ds,morphology,task_id,subject_index,fg_frac,ctx_dice,thinness,tortuosity,branching_density,region_size,boundary_complexity,scattered_count,scattered_clustering,task_ambiguity,boundary_amp_scale,boundary_sigma_frac,boundary_keep_largest,position_jitter,support_query_shift,support_query_translate,support_query_scale,foreground_contrast,texture_heterogeneity,noise_level,context_copy_fraction,context_consistency,task_ambiguity_intensity,axis_identification,axis_segmentation
synth/scattered/amb0.95,611,1,0.0,0.0,scattered,2838,3,0.0125732421875,0.0025062657271822295,0.35915464281466575,0.8088061651535841,0.6005031786280532,0.12862909682730678,0.8982426904929128,9.0,0.9271655951252689,0.9593657396185753,0.5,0.4,1.0,0.15,0.9,0.2,0.9,0.15,0.75,0.85,0.0,0.55,0.95,1.0,1.0
synth/scattered/amb0.90,612,1,0.0,0.0,scattered,2844,0,0.0023193359375,0.0,0.7559754334025586,0.23199319559083548,0.5523781946145981,0.2799993654632676,0.4596325850424038,11.0,0.37012775039651,0.8947949452899531,0.5,0.4,1.0,0.15,0.9,0.2,0.9,0.15,0.75,0.85,0.0,0.55,0.95,1.0,0.919735925822559
synth/scattered/amb0.90,613,1,0.10179640352725983,0.10179640352725983,scattered,2844,1,0.01934814453125,0.037475345035394035,0.7559754334025586,0.23199319559083548,0.5523781946145981,0.2799993654632676,0.4596325850424038,11.0,0.37012775039651,0.8947949452899531,0.5,0.4,1.0,0.15,0.9,0.2,0.9,0.15,0.75,0.85,0.0,0.55,0.95,1.0,0.919735925822559
synth/scattered/amb0.90,614,1,0.0,0.0,scattered,2844,2,0.00384521484375,0.08262108266353607,0.7559754334025586,0.23199319559083548,0.5523781946145981,0.2799993654632676,0.4596325850424038,11.0,0.37012775039651,0.8947949452899531,0.5,0.4,1.0,0.15,0.9,0.2,0.9,0.15,0.75,0.85,0.0,0.55,0.95,1.0,0.919735925822559
synth/scattered/amb0.90,615,1,0.6593406796455383,0.6593406796455383,scattered,2844,3,0.0047607421875,0.0,0.7559754334025586,0.23199319559083548,0.5523781946145981,0.2799993654632676,0.4596325850424038,11.0,0.37012775039651,0.8947949452899531,0.5,0.4,1.0,0.15,0.9,0.2,0.9,0.15,0.75,0.85,0.0,0.55,0.95,1.0,0.919735925822559
synth/scattered/amb0.93,616,1,0.0,0.0,scattered,2862,0,0.00787353515625,0.02793172871073087,0.7584048951364982,0.6229052679867981,0.3502226057002728,0.38772694736059193,0.44299935179557115,11.0,0.26986603035802925,0.9134306609333321,0.5,0.4,1.0,0.15,0.9,0.2,0.9,0.15,0.75,0.85,0.0,0.55,0.95,1.0,0.9030855548354171
synth/scattered/amb0.93,617,1,0.0,0.0,scattered,2862,1,0.021728515625,0.016933207710584004,0.7584048951364982,0.6229052679867981,0.3502226057002728,0.38772694736059193,0.44299935179557115,11.0,0.26986603035802925,0.9134306609333321,0.5,0.4,1.0,0.15,0.9,0.2,0.9,0.15,0.75,0.85,0.0,0.55,0.95,1.0,0.9030855548354171
synth/scattered/amb0.93,618,1,0.0,0.0,scattered,2862,2,0.00726318359375,0.0036455808828274408,0.7584048951364982,0.6229052679867981,0.3502226057002728,0.38772694736059193,0.44299935179557115,11.0,0.26986603035802925,0.9134306609333321,0.5,0.4,1.0,0.15,0.9,0.2,0.9,0.15,0.75,0.85,0.0,0.55,0.95,1.0,0.9030855548354171
synth/scattered/amb0.93,619,1,0.0,0.0,scattered,2862,3,0.03662109375,0.009680541853109995,0.7584048951364982,0.6229052679867981,0.3502226057002728,0.38772694736059193,0.44299935179557115,11.0,0.26986603035802925,0.9134306609333321,0.5,0.4,1.0,0.15,0.9,0.2,0.9,0.15,0.75,0.85,0.0,0.55,0.95,1.0,0.9030855548354171
synth/blob/amb0.90,620,1,0.0,0.0,blob,2867,0,0.0587158203125,0.007482993106047313,0.5907869822382592,0.8912570887450573,0.8764934191462028,0.5378643142350734,0.3439257804260933,10.0,0.0486450985697765,0.8996918722542203,0.5,0.4,1.0,0.15,0.9,0.2,0.9,0.15,0.75,0.85,0.0,0.55,0.95,0.8996918722542203,0.5436528398391659
