run_id,run_name,description,epoch,class,in_train,subject,ctx_cases,self_ctx,dice,nsd,soft_dice,loss,time_ms,tgt_size,tgt_occ,ctx_size,ctx_occ,spacing,synth_size,detail
502z85nl,150_cascade_coldtransformer_dualaxis,"dual_axis=True (default), l=4 — full bi-axial (row cross-context + column img<->mask) attention, cold transformer",160,brain,True,s0352,s0867,False,0.9289,,0.9276,0.07753199338912964,26.6,12280.0,0.005856,1519.0,0.000724,4.24,,ct ct<-ct
502z85nl,150_cascade_coldtransformer_dualaxis,"dual_axis=True (default), l=4 — full bi-axial (row cross-context + column img<->mask) attention, cold transformer",160,brain,True,s1017,s0874,False,0.8906,,0.861,0.14098748564720154,26.6,4352.0,0.002075,19054.0,0.009086,4.24,,ct ct<-ct
502z85nl,150_cascade_coldtransformer_dualaxis,"dual_axis=True (default), l=4 — full bi-axial (row cross-context + column img<->mask) attention, cold transformer",160,brain,True,s0021,s0572,False,0.8565,,0.856,0.1472729742527008,26.6,3225.0,0.001538,1466.0,0.000699,4.24,,ct ct<-ct
502z85nl,150_cascade_coldtransformer_dualaxis,"dual_axis=True (default), l=4 — full bi-axial (row cross-context + column img<->mask) attention, cold transformer",160,brain,True,s0874,s0346,False,0.9638,,0.9625,0.040372688323259354,26.6,19054.0,0.009086,19019.0,0.009069,4.24,,ct ct<-ct
502z85nl,150_cascade_coldtransformer_dualaxis,"dual_axis=True (default), l=4 — full bi-axial (row cross-context + column img<->mask) attention, cold transformer",160,brain,True,s1059,s1161,False,0.8733,,0.8706,0.13079588115215302,26.6,1500.0,0.000715,16651.0,0.00794,4.24,,ct ct<-ct
502z85nl,150_cascade_coldtransformer_dualaxis,"dual_axis=True (default), l=4 — full bi-axial (row cross-context + column img<->mask) attention, cold transformer",160,brain,True,s0874,s1017,False,0.9659,,0.9642,0.03846219927072525,28.2,19054.0,0.009086,4352.0,0.002075,4.24,,ct ct<-ct
502z85nl,150_cascade_coldtransformer_dualaxis,"dual_axis=True (default), l=4 — full bi-axial (row cross-context + column img<->mask) attention, cold transformer",160,brain,True,s1017,s0867,False,0.8612,,0.8573,0.14598774909973145,26.6,4352.0,0.002075,1519.0,0.000724,4.24,,ct ct<-ct
502z85nl,150_cascade_coldtransformer_dualaxis,"dual_axis=True (default), l=4 — full bi-axial (row cross-context + column img<->mask) attention, cold transformer",160,brain,True,s0874,s0572,False,0.9673,,0.9649,0.03739791363477707,26.6,19054.0,0.009086,1466.0,0.000699,4.24,,ct ct<-ct
502z85nl,150_cascade_coldtransformer_dualaxis,"dual_axis=True (default), l=4 — full bi-axial (row cross-context + column img<->mask) attention, cold transformer",160,brain,True,s0792,s0346,False,0.9572,,0.9558,0.04780511558055878,26.6,16759.0,0.007991,19019.0,0.009069,4.24,,ct ct<-ct
502z85nl,150_cascade_coldtransformer_dualaxis,"dual_axis=True (default), l=4 — full bi-axial (row cross-context + column img<->mask) attention, cold transformer",160,clavicula_left,False,s0346,s1287,False,0.5385,,0.5414,0.4596322178840637,26.6,345.0,0.000165,275.0,0.000131,4.24,,ct ct<-ct
502z85nl,150_cascade_coldtransformer_dualaxis,"dual_axis=True (default), l=4 — full bi-axial (row cross-context + column img<->mask) attention, cold transformer",160,clavicula_left,False,s1305,s1223,False,0.6102,,0.6116,0.3889750838279724,26.6,204.0,9.7e-05,274.0,0.000131,4.24,,ct ct<-ct
